HOG	OG	Gene Tree Parent Clade	GCA_000005845.2	GCA_000025565.1	GCA_000742755.1
N0.HOG0001920	OG0001755	-	b1970 _hiuH_ hydroxyisourate hydrolase/transthyretin-related protein	ECL_00086 putative hydroxyisourate hydrolase	VK055_2060 _uraH2_ hydroxyisourate hydrolase
N0.HOG0001921	OG0001756	-	b1971 _msrP_ protein-L-methionine sulfoxide reductase catalytic subunit MsrP	ECL_04637 putative sulfite oxidase subunit YedY	VK055_3815 _yedY_ sulfoxide reductase catalytic subunit yedY
N0.HOG0001922	OG0001757	-	b1972 _msrQ_ membrane-bound flavocytochrome MsrQ	ECL_04638 putative sulfite oxidase subunit YedZ	VK055_3814 _yedZ_ conserved inner membrane protein
N0.HOG0001923	OG0001758	-	b1973 _zinT_ metal-binding protein ZinT	ECL_02012 hypothetical protein	VK055_3232 _yodA_ cadmium-induced cadmium binding protein
N0.HOG0001924	OG0001759	-	b1976 _mtfA_ Mlc titration factor	ECL_03314 hypothetical protein	VK055_5144 _mtfA2_ protein mtfA
N0.HOG0001925	OG0001760	-	b1981 _shiA_ shikimate_H_+_ symporter	ECL_03326 shikimate transporter	VK055_5063 H+ symporter family protein
N0.HOG0001926	OG0001761	-	b1982 _amn_ AMP nucleosidase	ECL_03327 AMP nucleosidase	VK055_5132 _amn_ AMP nucleosidase
N0.HOG0001927	OG0001762	-	b1985 _yeeO_ FMN/FAD exporter	ECL_03329 MATE efflux family protein	VK055_5130 MATE efflux family protein
N0.HOG0001928	OG0001763	-	b1987 _cbl_ DNA-binding transcriptional activator Cbl	ECL_03323 transcriptional regulator Cbl	VK055_5140 cbl transcriptional activator
N0.HOG0001929	OG0001764	-	b1988 _nac_ DNA-binding transcriptional dual regulator Nac	ECL_03324 nitrogen assimilation transcriptional regulator	VK055_5139 nac transcriptional activator Nac transcriptional dual regulator
N0.HOG0001930	OG0001765	-	b1991 _cobT_ nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase		VK055_5057 _cobT2_ nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase, VK055_4344 _cobT_ nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
N0.HOG0001931	OG0001766	-	b2007 _tmaR_ PTS system regulator TmaR	ECL_03331 hypothetical protein	VK055_5055 hypothetical protein
N0.HOG0001932	OG0001767	-	b2008 _yeeA_ putative transporter YeeA	ECL_03332 putative inner membrane protein	VK055_5054 fusaric acid resistance protein-like family protein
N0.HOG0001933	OG0001768	-	b2009 _sbmC_ DNA gyrase inhibitor	ECL_03333 DNA gyrase inhibitor	VK055_5053 gyrI-like small molecule binding domain protein
N0.HOG0001934	OG0001769	-	b2010 _dacD_ D-alanyl-D-alanine carboxypeptidase DacD	ECL_03334 D-alanyl-D-alanine carboxypeptidase	VK055_5052 DD-carboxypeptidase_ penicillin-binding protein 6b
N0.HOG0001935	OG0001770	-	b2011 _sbcB_ exodeoxyribonuclease I	ECL_03335 exonuclease I	VK055_5051 exonuclease I_ 3' -- 5' specific deoxyribophosphodiesterase
N0.HOG0001936	OG0001771	-	b2016 _yeeZ_ putative epimerase YeeZ	ECL_03338 NAD-dependent epimerase/dehydratase	VK055_5046 putative epimerase_ with NAD_P_-binding Rossmann-fold domain
N0.HOG0001937	OG0001772	-	b2019 _hisG_ ATP phosphoribosyltransferase	ECL_03339 _hisG_ ATP phosphoribosyltransferase	VK055_5045 _hisG_ ATP phosphoribosyltransferase
N0.HOG0001938	OG0001773	-	b2020 _hisD_ histidinal/histidinol dehydrogenase	ECL_03340 histidinol dehydrogenase	VK055_5044 hisD
N0.HOG0001939	OG0001774	-	b2022 _hisB_ imidazoleglycerol-phosphate dehydratase/histidinol-phosphatase	ECL_03342 imidazole glycerol-phosphate dehydratase/histidinol phosphatase	VK055_5042 hisB
N0.HOG0001940	OG0001775	-	b2023 _hisH_ imidazole glycerol phosphate synthase subunit HisH	ECL_03343 imidazole glycerol phosphate synthase	VK055_5041 _hisH_ imidazole glycerol phosphate synthase_ glutamineamidotransferase subunit
N0.HOG0001941	OG0001776	-	b2024 _hisA_ 1-_5-phosphoribosyl_-5-[_5- phosphoribosylamino_methylideneamino]imidazole-4- carboxamide isomerase	ECL_03344 1-_5-phosphoribosyl_-5-[_5- phosphoribosylamino_methylideneamino] imidazole-4-carboxamide isomerase	VK055_5040 _hisA_ 1-_5-phosphoribosyl_-5-[_5- phosphoribosylamino_methylideneamino]imidazole-4- carboxamide isomerase
N0.HOG0001942	OG0001777	-	b2025 _hisF_ imidazole glycerol phosphate synthase subunit HisF	ECL_03345 _hisF_ imidazole glycerol phosphate synthase subunit HisF	VK055_5039 _hisF_ imidazole glycerol phosphate synthase_ HisF subunit
N0.HOG0001943	OG0001778	-	b2026 _hisI_ putative bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase	ECL_03346 _hisE_ hypothetical protein	VK055_5038 _hisE_ phosphoribosyl-ATP diphosphatase
N0.HOG0001944	OG0001779	-	b2028 _ugd_ UDP-glucose 6-dehydrogenase	ECL_03349 UDP-glucose 6-dehydrogenase	VK055_5029 _ugd_ nucleotide sugar dehydrogenase family protein
N0.HOG0001945	OG0001780	-	b2029 _gnd_ 6-phosphogluconate dehydrogenase_ decarboxylating	ECL_03352 _gnd_ 6-phosphogluconate dehydrogenase	VK055_5026 _gnd_ 6-phosphogluconate dehydrogenase
N0.HOG0001946	OG0001781	-	b2033 _wbbJ_ putative lipopolysaccharide biosynthesis O-acetyl transferase WbbJ, b2054 _wcaF_ colanic acid biosynthesis acetyltransferase WcaF	ECL_03377 _wcaF_ putative colanic acid biosynthesis acetyltransferase WcaF	
N0.HOG0001947	OG0001782	-	b2036 _glf_ UDP-galactopyranose mutase	ECL_03354 _glf_ UDP-galactopyranose mutase	VK055_5034 _glf_ UDP-galactopyranose mutase
N0.HOG0001948	OG0001783	-	b2046 _wzxC_ colanic acid repeat unit flippase	ECL_03369 _pst_ colanic acid exporter	VK055_5022 _wzx_ polysaccharide biosynthesis family protein
N0.HOG0001949	OG0001784	-	b2048 _cpsG_ phosphomannomutase	ECL_03371 phosphomannomutase	VK055_5028 _manB_ phosphoglucomutase/phosphomannomutase_ C-terminal domain protein
N0.HOG0001950	OG0001785	-	b2049 _cpsB_ mannose-1-phosphate guanylyltransferase	ECL_03372 _manB_ mannose-1-phosphate guanylyltransferase _GDP_	VK055_5027 _manC_ mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase
N0.HOG0001951	OG0001786	-	b2063 _yegH_ inner membrane protein YegH	ECL_03386 integral membrane protein TerC	VK055_5011 transporter associated domain protein
N0.HOG0001952	OG0001787	-	b2064 _asmA_ putative assembly protein AsmA	ECL_03387 AsmA family protein	VK055_5010 asmA family protein
N0.HOG0001953	OG0001788	-	b2065 _dcd_ dCTP deaminase	ECL_03388 deoxycytidine triphosphate deaminase	VK055_5009 _dcd_ deoxycytidine triphosphate deaminase
N0.HOG0001954	OG0001789	-	b2066 _udk_ uridine/cytidine kinase	ECL_03389 uridine kinase	VK055_5008 _udk_ uridine kinase
N0.HOG0001955	OG0001790	-	b2068 _alkA_ DNA-3-methyladenine glycosylase 2	ECL_03391 3-methyl-adenine DNA glycosylase II	VK055_5007 3-methyl-adenine DNA glycosylase II_ inducible
N0.HOG0001956	OG0001791	-	b2069 _yegD_ HSP70 family protein YegD	ECL_03392 putative chaperone	VK055_5006 hsp70 family protein
N0.HOG0001957	OG0001792	-	b2074 _mdtA_ multidrug efflux pump membrane fusion protein MdtA	ECL_03401 multidrug efflux system subunit MdtA	VK055_5000 efflux transporter_ RND family_ MFP subunit
N0.HOG0001958	OG0001793	-	b2077 _mdtD_ putative multidrug efflux pump MdtD	ECL_03404 multidrug efflux system protein MdtE	VK055_4997 major Facilitator Superfamily protein
N0.HOG0001959	OG0001794	-	b2078 _baeS_ sensor histidine kinase BaeS	ECL_03405 signal transduction histidine-protein kinase BaeS	VK055_4996 HAMP domain protein
N0.HOG0001960	OG0001795	-	b2079 _baeR_ DNA-binding transcriptional activator BaeR	ECL_03406 DNA-binding transcriptional regulator BaeR	VK055_4995 transcriptional regulatory_ C terminal family protein
N0.HOG0001961	OG0001796	-	b2081 _trhP_ tRNA wobble base hydroxylation protein TrhP	ECL_03407 putative protease	VK055_4994 peptidase U32 family protein
N0.HOG0001962	OG0001797	-	b2086 _yegS_ lipid kinase YegS	ECL_03409 lipid kinase	VK055_4993 _yegS_ lipid kinase YegS
N0.HOG0001963	OG0001798	-	b3132 _kbaZ_ putative tagatose-1_6-bisphosphate aldolase 1 chaperone, b2095 _gatZ_ putative tagatose-1_6-bisphosphate aldolase 2 chaperone	ECL_04519 tagatose 6-phosphate kinase	
N0.HOG0001964	OG0001799	-	b2097 _fbaB_ fructose-bisphosphate aldolase class I	ECL_03410 fructose-bisphosphate aldolase	VK055_4977 fructose bisphosphate aldolase
N0.HOG0001965	OG0001800	-	b2103 _thiD_ bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	ECL_03415 phosphomethylpyrimidine kinase	VK055_4976 _thiD_ phosphomethylpyrimidine kinase
N0.HOG0001966	OG0001801	-	b2104 _thiM_ hydroxyethylthiazole kinase	ECL_03416 hydroxyethylthiazole kinase	VK055_4975 _thiM_ hydroxyethylthiazole kinase
N0.HOG0001967	OG0001802	-	b2105 _rcnR_ DNA-binding transcriptional repressor RcnR	ECL_01223 hypothetical protein	VK055_2128 _rcnR_ rcnR transcriptional repressor
N0.HOG0001968	OG0001803	-	b2113 _mrp_ P-loop NTPase family protein Mrp	ECL_03432 putative ATPase	VK055_4964 cobQ/CobB/MinD/ParA nucleotide binding domain protein
N0.HOG0001969	OG0001804	-	b2118 _yehI_ DUF4132 domain-containing protein YehI, b2115 _yehF_ PF05406 family protein YehF, b2420 _yfeS_ PF05406 family protein YfeS		
N0.HOG0001970	OG0001805	-	b2124 _yehS_ DUF1456 domain-containing protein YehS	ECL_03434 hypothetical protein	VK055_4962 hypothetical protein
N0.HOG0001971	OG0001806	-	b2125 _btsR_ DNA-binding transcriptional dual regulator BtsR	ECL_03435 putative two-component response-regulatory protein YehT	VK055_4961 response regulator
N0.HOG0001972	OG0001807	-	b2126 _btsS_ high-affinity pyruvate receptor	ECL_03436 signal transduction histidine kinase_ LytS	VK055_4960 histidine kinase-_ DNA gyrase B-_ and HSP90-likeATPase family protein
N0.HOG0001973	OG0001808	-	b2130 _yehY_ glycine betaine ABC transporter membrane subunit YehY	ECL_03440 putative glycine/betaine/choline ABC transporter permease component	VK055_4956 binding-protein-dependent transport system innermembrane component family protein
N0.HOG0001974	OG0001809	-	b2131 _osmF_ glycine betaine ABC transporter periplasmic binding protein OsmF	ECL_03441 putative glycine/betaine/choline ABC transporter substrate-binding component	VK055_4955 substrate binding domain of ABC-type glycine betaine transport system family protein
N0.HOG0001975	OG0001810	-	b2133 _dld_ quinone-dependent D-lactate dehydrogenase	ECL_03443 D-lactate dehydrogenase	VK055_4953 D-lactate dehydrogenase
N0.HOG0001976	OG0001811	-	b2134 _pbpG_ peptidoglycan DD-endopeptidase PbpG	ECL_03445 D-alanyl-D-alanine endopeptidase	VK055_4951 _pbpG_ penicillin-binding protein 7
N0.HOG0001977	OG0001812	-	b2135 _yohC_ putative inner membrane protein	ECL_03447 putative membrane protein	VK055_4950 hypothetical protein
N0.HOG0001978	OG0001813	-	b2136 _yohD_ DedA family protein YohD	ECL_03448 hypothetical protein	VK055_4949 _yohD_ conserved inner membrane protein
N0.HOG0001979	OG0001814	-	b2140 _dusC_ tRNA-dihydrouridine_16_ synthase	ECL_03451 tRNA-dihydrouridine synthase C	VK055_4942 tRNA dihydrouridine synthase
N0.HOG0001980	OG0001815	-	b2141 _yohJ_ putative 3-hydroxypropanoate export protein YohJ	ECL_03452 LrgA family protein	VK055_4941 lrgA family protein
N0.HOG0001981	OG0001816	-	b2142 _yohK_ putative 3-hydroxypropanoate export protein YohK	ECL_03453 hypothetical protein	VK055_4940 lrgB-like family protein
N0.HOG0001982	OG0001817	-	b2143 _cdd_ cytidine/deoxycytidine deaminase	ECL_03454 cytidine deaminase	VK055_4939 _cdd_ cytidine deaminase
N0.HOG0001983	OG0001818	-	b2148 _mglC_ D-galactose/methyl-galactoside ABC transporter membrane subunit	ECL_03457 _mglC_ methyl-galactoside transport system permease protein	VK055_4937 branched-chain amino acid transport system / permease component family protein
N0.HOG0001984	OG0001819	-	b2150 _mglB_ D-galactose/methyl-galactoside ABC transporter periplasmic binding protein	ECL_03459 _mglB_ methyl-galactoside transport system substrate-binding protein	VK055_4935 _mglB_ D-galactose-binding periplasmic protein
N0.HOG0001985	OG0001820	-	b2151 _galS_ DNA-binding transcriptional dual regulator GalS	ECL_03460 DNA-binding transcriptional regulator GalS	VK055_4934 _galR2_ galR transcriptional repressor GalR transcriptional dual regulator
N0.HOG0001986	OG0001821	-	b2152 _yeiB_ DUF418 domain-containing protein YeiB	ECL_03461 hypothetical protein	VK055_4933 hypothetical protein
N0.HOG0001987	OG0001822	-	b2153 _folE_ GTP cyclohydrolase 1	ECL_03462 GTP cyclohydrolase I	VK055_4932 _folE_ GTP cyclohydrolase I
N0.HOG0001988	OG0001823	-	b2156 _lysP_ lysine_H_+_ symporter	ECL_03466 lysine transporter	VK055_4928 amino acid permease family protein
N0.HOG0001989	OG0001824	-	b2157 _yeiE_ DNA-binding transcriptional regulator YeiE	ECL_03467 putative DNA-binding transcriptional regulator	VK055_4927 _yeiE_ LYSR-type transcriptional regulator
N0.HOG0001990	OG0001825	-	b2158 _yeiH_ PF03601 family inner membrane protein YeiH	ECL_03468 hypothetical protein	VK055_4926 hypothetical protein
N0.HOG0001991	OG0001826	-	b2159 _nfo_ endonuclease IV	ECL_03469 endonuclease IV	VK055_4925 apurinic endonuclease family protein
N0.HOG0001992	OG0001827	-	b2164 _psuT_ putative pseudouridine transporter, b2161 _nupX_ putative nucleoside transporter		VK055_2595 nucleoside transporter_ NupC family protein
N0.HOG0001993	OG0001828	-	b2167 _fruA_ fructose-specific PTS multiphosphoryl transfer protein FruA	ECL_03470 hypothetical protein	VK055_4924 PTS system_ Fru family_ IIB component domain protein
N0.HOG0001994	OG0001829	-	b2168 _fruK_ 1-phosphofructokinase	ECL_03472 1-phosphofructokinase	VK055_4923 _pfkB_ 1-phosphofructokinase
N0.HOG0001995	OG0001830	-	b2171 _yeiP_ elongation factor P-like protein YeiP	ECL_03489 elongation factor P	VK055_4918 elongation factor P _EF-P_ OB domain protein
N0.HOG0001996	OG0001831	-	b2173 _yeiR_ zinc-binding GTPase YeiR	ECL_03492 putative cobalamin synthesis protein	VK055_4915 cobW/HypB/UreG_ nucleotide-binding domain protein
N0.HOG0001997	OG0001832	-	b2174 _lpxT_ lipid A-core phosphotransferase	ECL_03493 putative inner membrane protein	VK055_4914 protein with low undecaprenyl pyrophosphate phosphatase activity
N0.HOG0001998	OG0001833	-	b2175 _mepS_ peptidoglycan endopeptidase/peptidoglycan L_D-carboxypeptidase	ECL_03494 putative outer membrane lipoprotein	VK055_4913 nlpC/P60 family protein
N0.HOG0001999	OG0001834	-	b2177 _yejA_ putative oligopeptide ABC transporter periplasmic binding protein YejA	ECL_03496 putative peptide/nickel transport system substrate-binding protein	VK055_4911 yejA
N0.HOG0002000	OG0001835	-	b2178 _yejB_ putative oligopeptide ABC transporter membrane subunit YejB	ECL_03497 putative peptide/nickel transport system permease protein	VK055_4910 _yejB_ yejB
N0.HOG0002001	OG0001836	-	b2179 _yejE_ putative oligopeptide ABC transporter membrane subunit YejE	ECL_03498 putative peptide/nickel transport system permease protein	VK055_4909 yejE
N0.HOG0002002	OG0001837	-	b2180 _yejF_ putative oligopeptide ABC transporter ATP binding subunit YejF	ECL_03499 putative peptide/nickel transport system ATP-binding protein	VK055_4908 _nikE4_ nickel import ATP-binding protein NikE
N0.HOG0002003	OG0001838	-	b2181 _yejG_ protein YejG	ECL_03500 hypothetical protein	VK055_4907 yejG-like family protein
N0.HOG0002004	OG0001839	-	b2183 _rsuA_ 16S rRNA pseudouridine_516_ synthase	ECL_03502 16S rRNA pseudouridylate synthase A	VK055_4905 _rsuA_ 16S rRNA pseudouridine 516 synthase
N0.HOG0002005	OG0001840	-	b2185 _rplY_ 50S ribosomal subunit protein L25	ECL_03506 50S ribosomal protein L25	VK055_4903 _rplY_ 50S ribosomal subunit protein L25
N0.HOG0002006	OG0001841	-	b2186 _yejK_ nucleoid-associated protein YejK	ECL_03507 nucleoid-associated protein NdpA	VK055_4898 _yjeK_ DNA-associated protein
N0.HOG0002007	OG0001842	-	b2187 _yejL_ DUF1414 domain-containing protein YejL	ECL_03508 hypothetical protein	VK055_4897 hypothetical protein
N0.HOG0002008	OG0001843	-	b2188 _lapC_ lipopolysaccharide signal transducer LapC	ECL_03509 putative sulfatase	VK055_4896 type I phosphodiesterase / nucleotide pyrophosphatase family protein
N0.HOG0002009	OG0001844	-	b2196 _ccmF_ holocytochrome c synthase CcmF component, b4074 _nrfE_ putative cytochrome c-type biogenesis protein NrfE		VK055_0398 _ccmF_ cytochrome c-type biogenesis protein CcmF
N0.HOG0002010	OG0001845	-	b2206 _napA_ periplasmic nitrate reductase subunit NapA	ECL_01617 nitrate reductase catalytic subunit	VK055_0232 molybdopterin dinucleotide binding domain protein
N0.HOG0002011	OG0001846	-	b2209 _eco_ serine protease inhibitor ecotin	ECL_03511 ecotin	VK055_4893 ecotin family protein
N0.HOG0002012	OG0001847	-	b2211 _yojI_ ABC transporter family protein/microcin J25 efflux protein	ECL_03515 multidrug transporter membrane component/ATP-binding component	VK055_4889 yojI
N0.HOG0002013	OG0001848	-	b2212 _alkB_ DNA oxidative demethylase	ECL_03516 DNA-N1-methyladenine dioxygenase	VK055_4888 alkB repair system for alkylated DNA and RNA
N0.HOG0002014	OG0001849	-	b2213 _ada_ DNA-binding transcriptional dual regulator/DNA repair protein Ada	ECL_03517 DNA-O6-methylguanine-protein-cysteine S-methyltransferase/transcriptional regulator Ada	VK055_4887 ada transcriptional dual regulator
N0.HOG0002015	OG0001850	-	b2214 _ftp_ FAD_protein FMN transferase	ECL_03518 thiamine biosynthesis lipoprotein ApbE	VK055_4886 apbE family protein
N0.HOG0002016	OG0001851	-	b2216 _rcsD_ RcsD phosphotransferase	ECL_03520 _rcsD_ two-component system_ NarL family_ sensor histidine kinase RcsD	VK055_4884 putative 2-component sensor protein
N0.HOG0002017	OG0001852	-	b2218 _rcsC_ histidine kinase RcsC	ECL_03522 _rcsC_ two-component system_ NarL family_ capsular synthesis sensor histidine kinase RcsC	VK055_4882 his Kinase A domain protein
N0.HOG0002018	OG0001853	-	b2231 _gyrA_ DNA gyrase subunit A	ECL_03523 DNA gyrase subunit A	VK055_4875 _gyrA_ DNA gyrase_ A subunit
N0.HOG0002019	OG0001854	-	b2232 _ubiG_ bifunctional 3-demethylubiquinone-8 3-O-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase	ECL_03524 3-demethylubiquinone-9 3-methyltransferase	VK055_4874 _ubiG_ 3-demethylubiquinone-9 3-O-methyltransferase
N0.HOG0002020	OG0001855	-	b2234 _nrdA_ ribonucleoside-diphosphate reductase 1 subunit alpha	ECL_03525 ribonucleotide-diphosphate reductase alpha subunit	VK055_4873 ribonucleoside-diphosphate reductase_ alpha subunit
N0.HOG0002021	OG0001856	-	b2235 _nrdB_ ribonucleoside-diphosphate reductase 1 subunit beta	ECL_03526 ribonucleotide-diphosphate reductase beta subunit	VK055_4872 _nrdB_ nrdB
N0.HOG0002022	OG0001857	-	b2236 _yfaE_ ferredoxin-like diferric-tyrosyl radical cofactor maintenance protein YfaE	ECL_03527 2Fe-2S ferredoxin YfaE	VK055_4871 2Fe-2S iron-sulfur cluster binding domain protein
N0.HOG0002023	OG0001858	-	b2239 _glpQ_ glycerophosphoryl diester phosphodiesterase GlpQ	ECL_03531 glycerophosphodiester phosphodiesterase	VK055_4870 _glpQ_ glycerophosphoryl diester phosphodiesterase
N0.HOG0002024	OG0001859	-	b2241 _glpA_ anaerobic glycerol-3-phosphate dehydrogenase subunit A	ECL_03533 _glpA_ sn-glycerol-3-phosphate dehydrogenase subunit A	VK055_4868 _glpA_ glycerol-3-phosphate dehydrogenase_ anaerobic_ Asubunit
N0.HOG0002025	OG0001860	-	b2242 _glpB_ anaerobic glycerol-3-phosphate dehydrogenase subunit B	ECL_03534 _glpB_ anaerobic glycerol-3-phosphate dehydrogenase subunit B	VK055_4867 _glpB_ glycerol-3-phosphate dehydrogenase_ anaerobic_ Bsubunit
N0.HOG0002026	OG0001861	-	b2247 _rhmD_ L-rhamnonate dehydratase		VK055_4863 _rhmD_ L-rhamnonate dehydratase, VK055_4987 isomerase/lactonizing enzyme
N0.HOG0002027	OG0001862	-	b2249 _yfaY_ IPR008135 CinA family protein YfaY	ECL_03536 competence damage-inducible protein A	VK055_4861 hypothetical protein
N0.HOG0002028	OG0001863	-	b2254 _arnC_ undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase	ECL_04862 undecaprenyl phosphate 4-deoxy-4-formamido-L-arabinose transferase	VK055_3624 _arnC_ undecaprenyl phosphate-L-Ara4FN transferase
N0.HOG0002029	OG0001864	-	b2255 _arnA_ fused UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase	ECL_04861 bifunctional UDP-glucuronic acid decarboxylase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase	VK055_3625 _arnA_ fused UDP-L-Ara4N formyltransferase and UDP-GlcAC-4''-decarboxylase
N0.HOG0002030	OG0001865	-	b2256 _arnD_ putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD	ECL_04860 polysaccharide deacetylase domain protein	VK055_3626 putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
N0.HOG0002031	OG0001866	-	b2257 _arnT_ lipid IVA 4-amino-4-deoxy-L-arabinosyltransferase	ECL_04859 4-amino-4-deoxy-L-arabinose transferase	VK055_3627 _arnT_ 4-amino-4-deoxy-L-arabinose _L-Ara4N_ transferase
N0.HOG0002032	OG0001867	-	b4544 _arnE_ undecaprenyl-phosphate-alpha-L-Ara4N flippase - ArnE subunit	ECL_04858 hypothetical protein	VK055_3628 hypothetical protein
N0.HOG0002033	OG0001868	-	b2258 _arnF_ undecaprenyl-phosphate-alpha-L-Ara4N flippase - ArnF subunit	ECL_04857 hypothetical protein	VK055_3630 _arnF_ arnF
N0.HOG0002034	OG0001869	-	b2260 _menE_ o-succinylbenzoate--CoA ligase	ECL_03610 _menE_ O-succinylbenzoic acid--CoA ligase	VK055_4857 _menE_ O-succinylbenzoate-CoA ligase
N0.HOG0002035	OG0001870	-	b2261 _menC_ o-succinylbenzoate synthase	ECL_03611 _menC_ O-succinylbenzoate synthase	VK055_4856 _menC_ o-succinylbenzoate synthase
N0.HOG0002036	OG0001871	-	b2262 _menB_ 1_4-dihydroxy-2-naphthoyl-CoA synthase	ECL_03612 _menB_ naphthoate synthase	VK055_4855 _menB_ naphthoate synthase
N0.HOG0002037	OG0001872	-	b2263 _menH_ 2-succinyl-6-hydroxy-2_ 4-cyclohexadiene-1-carboxylate synthase	ECL_03613 _menH_ 2-succinyl-6-hydroxy-2_ 4-cyclohexadiene-1-carboxylate synthase	VK055_4854 _menH_ 2-succinyl-6-hydroxy-2_ 4-cyclohexadiene-1-carboxylate synthase
N0.HOG0002038	OG0001873	-	b2264 _menD_ 2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylate synthase	ECL_03614 _menD_ 2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylate synthase	VK055_4853 _menD_ 2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylic-acid synthase
N0.HOG0002039	OG0001874	-	b2265 _menF_ isochorismate synthase MenF	ECL_03615 _menF_ menaquinone-specific isochorismate synthase	VK055_4852 _menF_ menF
N0.HOG0002040	OG0001875	-	b2267 _elaA_ putative acetyltransferase ElaA	ECL_03617 GCN-related N-acetyltransferase	VK055_4851 hypothetical protein
N0.HOG0002041	OG0001876	-	b2268 _rbn_ ribonuclease BN	ECL_03618 ribonuclease Z	VK055_4850 _rnz_ ribonuclease Z
N0.HOG0002042	OG0001877	-	b2276 _nuoN_ NADH_quinone oxidoreductase subunit N	ECL_03620 NADH dehydrogenase subunit N	VK055_4849 _nuoN_ NADH_ubiquinone oxidoreductase_ membrane subunitN
N0.HOG0002043	OG0001878	-	b2277 _nuoM_ NADH_quinone oxidoreductase subunit M	ECL_03621 NADH dehydrogenase subunit M	VK055_4848 _nuoM_ NADH_ubiquinone oxidoreductase_ membrane subunitM
N0.HOG0002044	OG0001879	-	b2279 _nuoK_ NADH_quinone oxidoreductase subunit K	ECL_03623 NADH dehydrogenase subunit K	VK055_4846 _nuoK_ NADH_ubiquinone oxidoreductase_ membrane subunitK
N0.HOG0002045	OG0001880	-	b2280 _nuoJ_ NADH_quinone oxidoreductase subunit J	ECL_03624 NADH dehydrogenase subunit J	VK055_4845 _nuoJ_ NADH_ubiquinone oxidoreductase_ membrane subunitJ
N0.HOG0002046	OG0001881	-	b2281 _nuoI_ NADH_quinone oxidoreductase subunit I	ECL_03625 NADH dehydrogenase subunit I	VK055_4844 _nuoI_ nuoI
N0.HOG0002047	OG0001882	-	b2282 _nuoH_ NADH_quinone oxidoreductase subunit H	ECL_03626 NADH dehydrogenase subunit H	VK055_4843 _nuoH_ NADH_ubiquinone oxidoreductase_ membrane subunitH
N0.HOG0002048	OG0001883	-	b2283 _nuoG_ NADH_quinone oxidoreductase subunit G	ECL_03627 NADH dehydrogenase subunit G	VK055_4842 _nuoG_ NADH dehydrogenase _quinone__ G subunit
N0.HOG0002049	OG0001884	-	b2284 _nuoF_ NADH_quinone oxidoreductase subunit F	ECL_03628 NADH dehydrogenase subunit F	VK055_4841 _nuoF_ NADH oxidoreductase _quinone__ F subunit
N0.HOG0002050	OG0001885	-	b2285 _nuoE_ NADH_quinone oxidoreductase subunit E	ECL_03629 NADH dehydrogenase subunit E	VK055_4840 _nuoE_ nuoE
N0.HOG0002051	OG0001886	-	b2286 _nuoC_ NADH_quinone oxidoreductase subunit CD	ECL_03630 NADH_ubiquinone oxidoreductase_ chain C_D	VK055_4839 nuoC
N0.HOG0002052	OG0001887	-	b2287 _nuoB_ NADH_quinone oxidoreductase subunit B	ECL_03631 NADH dehydrogenase subunit B	VK055_4838 _nuoB_ nuoB
N0.HOG0002053	OG0001888	-	b2288 _nuoA_ NADH_quinone oxidoreductase subunit A	ECL_03632 NADH dehydrogenase subunit A	VK055_4837 _nuoA_ NADH_ubiquinone oxidoreductase_ membrane subunitA
N0.HOG0002054	OG0001889	-	b2290 _alaA_ glutamate--pyruvate aminotransferase AlaA	ECL_03634 putative aminotransferase	VK055_4834 putative aminotransferase
N0.HOG0002055	OG0001890	-	b2291 _yfbR_ dCMP phosphohydrolase	ECL_03635 5'-nucleotidase	VK055_4833 _yfbR_ deoxyribonucleoside 5'-monophosphate phosphatase
N0.HOG0002056	OG0001891	-	b2293 _hxpA_ hexitol phosphatase A	ECL_03637 putative phosphatase	VK055_4831 HAD hydrolase_ IA_ variant 3 family protein
N0.HOG0002057	OG0001892	-	b2294 _yfbU_ PF03887 family protein YfbU	ECL_03638 hypothetical protein	VK055_4830 yfbU domain protein
N0.HOG0002058	OG0001893	-	b2295 _yfbV_ PF04217 family membrane protein YfbV	ECL_03639 hypothetical protein	VK055_4829 _yfbV_ conserved inner membrane protein
N0.HOG0002059	OG0001894	-	b2296 _ackA_ acetate kinase	ECL_03640 acetate kinase	VK055_4828 _ackA3_ acetate kinase
